Video_ID,Transcript
swau8n,set white at u eight now
swau9s,set white at u nine soon
swav1a,set white at v one again
swavzp,set white at v zero please
swbc1s,set white by c one soon
swbc2p,set white by c two please
swbc3a,set white by c three again
swbczn,set white by c zero now
swbi4n,set white by i four now
swbi5s,set white by i five soon
swbi6p,set white by i six please
swbi7a,set white by i seven again
swbo8n,set white by o eight now
swbo9s,set white by o nine soon
swbp1a,set white by p one again
swbpzp,set white by p zero please
swbv2n,set white by v two now
swbv3s,set white by v three soon
swbv4p,set white by v four please
swbv5a,set white by v five again
swib2n,set white in b two now
swib3s,set white in b three soon
swib4p,set white in b four please
swib5a,set white in b five again
swih6n,set white in h six now
swih7s,set white in h seven soon
swih8p,set white in h eight please
swih9a,set white in h nine again
swio1s,set white in o one soon
swio2p,set white in o two please
swio3a,set white in o three again
swiozn,set white in o zero now
swiu4n,set white in u four now
swiu5s,set white in u five soon
swiu6p,set white in u six please
swiu7a,set white in u seven again
swwc4n,set white with c four now
swwc5s,set white with c five soon
swwc6p,set white with c six please
swwc7a,set white with c seven again
swwi8n,set white with i eight now
swwi9s,set white with i nine soon
swwj1a,set white with j one again
swwjzp,set white with j zero please
swwp2n,set white with p two now
swwp3s,set white with p three soon
swwp4p,set white with p four please
swwp5a,set white with p five again
swwv6n,set white with v six now
swwv7s,set white with v seven soon
swwv8p,set white with v eight please
swwv9a,set white with v nine again
